Linux 3.10.0-230.el7.x86_64 (perf10.perf.lab.eng.bos.redhat.com) 	08/05/15 	_x86_64_	(40 CPU)

15:07:55     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:08:16       0    1.73    0.00    7.96    0.00    0.00    0.00    0.00    5.19    0.00   85.12
15:08:16       1   10.32    0.00   20.28    0.00    0.00    1.78    0.00    8.19    0.00   59.43
15:08:16       2    1.37    0.00    7.22    0.00    0.00    0.00    0.00    5.50    0.00   85.91
15:08:16       3   10.64    0.00   19.15    0.00    0.00    1.42    0.00    9.22    0.00   59.57
15:08:16       4    1.03    0.00    7.53    0.00    0.00    0.00    0.00    6.16    0.00   85.27
15:08:16       5   10.99    0.00   19.86    0.00    0.00    1.77    0.00    8.16    0.00   59.22
15:08:16       6    0.69    0.00    7.96    0.00    0.00    0.00    0.00    5.19    0.00   86.16
15:08:16       7   10.60    0.00   20.49    0.00    0.00    1.41    0.00    8.13    0.00   59.36
15:08:16       8   27.31    0.00   24.23    0.00    0.00   12.31    0.00    1.15    0.00   35.00
15:08:16       9    9.86    0.00   21.48    0.00    0.00    1.41    0.00    9.15    0.00   58.10
15:08:16      10   10.76    0.00   14.24    0.00    0.00    0.00    0.00    1.74    0.00   73.26
15:08:16      11   10.73    0.00   20.76    0.00    0.00    1.38    0.00    9.69    0.00   57.44
15:08:16      12    6.51    0.00    9.93    0.00    0.00    0.00    0.00    3.77    0.00   79.79
15:08:16      13    9.75    0.00   20.22    0.00    0.00    1.08    0.00    9.03    0.00   59.93
15:08:16      14    3.11    0.00    8.30    0.00    0.00    0.00    0.00    4.50    0.00   84.08
15:08:16      15   10.84    0.00   20.98    0.00    0.00    1.75    0.00    8.39    0.00   58.04
15:08:16      16    2.07    0.00    7.24    0.00    0.00    0.00    0.00    5.86    0.00   84.83
15:08:16      17   10.64    0.00   20.21    0.00    0.00    1.42    0.00    8.87    0.00   58.87
15:08:16      18    1.37    0.00    7.90    0.00    0.00    0.00    0.00    5.50    0.00   85.22
15:08:16      19   11.54    0.00   19.93    0.00    0.00    1.40    0.00    8.74    0.00   58.39
15:08:16      20    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.34    0.00   98.66
15:08:16      21    2.03    0.00    4.39    0.00    0.00    0.00    0.00    1.69    0.00   91.89
15:08:16      22    0.00    0.00    2.01    0.00    0.00    0.00    0.00    1.34    0.00   96.66
15:08:16      23    3.04    0.00    3.72    0.00    0.00    0.00    0.00    1.35    0.00   91.89
15:08:16      24    0.00    0.00    0.34    0.00    0.00    0.00    0.00    0.34    0.00   99.33
